qid_date,3068,60
20211207,4,0
20211208,4,2
20211209,4,1
20211210,4,1
20211213,0,1
20211214,1,1
20211215,0,1
20211216,0,2
20211217,1,2
20211220,1,1
20211221,4,0
20211222,4,0
20211223,1,1
20211224,4,1
20211227,0,1
20211228,1,2
20211229,0,2
20211230,0,1
20211231,2,0
20220104,1,0
20220105,4,0
20220106,0,1
20220107,0,1
20220110,0,1
20220111,0,2
20220112,4,0
20220113,4,0
20220114,1,2
20220117,1,1
20220118,0,1
20220119,0,1
20220120,4,0
20220121,4,0
20220124,1,4
20220125,1,1
20220126,0,1
20220127,0,1
20220128,1,0
20220207,4,0
20220208,4,1
20220209,0,1
20220210,0,1
20220211,0,0
20220214,0,0
20220215,0,0
20220216,4,2
20220217,0,2
20220218,1,1
20220221,4,1
20220222,4,1
20220223,0,3
20220224,1,2
20220225,0,2
20220228,4,2
20220301,4,1
20220302,4,1
20220303,1,2
20220304,0,2
20220307,4,0
20220308,4,1
20220309,1,1
20220310,0,2
20220311,0,0
20220314,1,2
20220315,1,1
20220316,1,1
20220317,4,3
20220318,0,3
20220321,1,3
20220322,1,3
20220323,1,3
20220324,4,1
20220325,0,1
20220328,1,2
20220329,4,2
20220330,4,1
20220331,0,1
20220401,0,1
20220406,1,0
20220407,1,0
20220408,0,2
20220411,0,1
20220412,4,3
20220413,1,3
20220414,1,3
20220415,0,2
20220418,0,2
20220419,0,1
20220420,1,1
20220421,1,1
20220422,0,0
20220425,0,2
20220426,2,2
20220427,0,1
20220428,0,3
20220429,1,3
20220505,4,3
20220506,0,3
20220509,0,3
20220510,2,1
20220511,1,0
20220512,1,1
20220513,4,3
20220516,2,3
20220517,2,3
20220518,2,3
20220519,2,0
20220520,1,1
20220523,0,1
20220524,0,2
20220525,0,0
20220526,4,3
20220527,1,3
20220530,1,3
20220531,1,1
20220601,0,1
20220602,4,0
20220606,4,0
20220607,0,3
20220608,1,3
20220609,2,3
20220610,2,2
20220613,2,2
20220614,2,1
20220615,2,1
20220616,2,3
20220617,1,3
20220620,4,3
20220621,4,1
20220622,4,2
20220623,2,2
20220624,2,3
20220627,1,3
20220628,1,3
20220629,2,2
20220630,0,2
20220701,2,2
20220704,2,3
20220705,2,3
20220706,1,3
20220707,4,1
20220708,2,2
20220711,2,2
20220712,2,2
20220713,2,3
20220714,2,3
20220715,2,1
20220718,2,1
20220719,2,2
20220720,0,2
20220721,0,2
20220722,4,3
20220725,4,0
20220726,2,1
20220727,0,1
20220728,0,2
20220729,2,2
20220801,2,2
20220802,2,2
20220803,0,3
20220804,1,3
20220805,1,3
20220808,1,2
20220809,0,2
20220810,2,2
20220811,2,3
20220812,4,3
20220815,0,4
20220816,2,4
20220817,2,4
20220818,4,4
20220819,0,3
20220822,4,1
20220823,2,1
20220824,2,1
20220825,0,1
20220826,0,3
20220829,4,4
20220830,2,1
20220831,2,1
20220901,0,1
20220902,0,1
20220905,1,4
20220906,2,4
20220907,2,2
20220908,4,1
20220909,4,1
20220913,4,1
20220914,0,3
20220915,2,3
20220916,2,3
20220919,4,1
20220920,4,1
20220921,4,1
20220922,2,1
20220923,1,2
20220926,1,4
20220927,1,4
20220928,2,3
20220929,0,0
20220930,4,1
20221010,2,1
20221011,4,2
20221012,1,2
20221013,1,0
20221014,0,0
20221017,4,1
20221018,4,1
20221019,0,2
20221020,2,2
20221021,2,2
20221024,1,4
20221025,1,4
20221026,4,0
20221027,2,0
20221028,2,2
20221031,4,2
20221101,4,2
20221102,4,1
20221103,1,4
20221104,1,4
20221107,1,4
20221108,1,2
20221109,0,2
20221110,0,0
20221111,2,1
20221114,4,4
20221115,1,4
20221116,1,4
20221117,1,0
20221118,2,2
20221121,2,1
20221122,2,1
20221123,4,3
20221124,3,3
20221125,1,4
20221128,1,4
20221129,1,0
20221130,1,1
20221201,0,1
20221202,4,2
20221205,2,3
20221206,2,3
20221207,1,3
20221208,1,4
20221209,1,0
20221212,0,0
20221213,2,1
20221214,2,2
20221215,4,3
20221216,1,3
20221219,1,3
20221220,1,0
20221221,2,0
20221222,4,0
20221223,4,2
20221226,2,2
20221227,2,3
20221228,1,3
20221229,1,0
20221230,4,0
20230103,4,1
20230104,2,1
20230105,2,2
20230106,1,0
20230109,1,0
20230110,4,3
20230111,2,3
20230112,2,3
20230113,0,1
20230116,0,1
20230117,4,0
20230118,4,0
20230119,4,2
20230120,2,2
20230130,0,3
20230131,4,3
20230201,4,3
20230202,4,1
20230203,0,0
20230206,2,2
20230207,2,2
20230208,2,3
20230209,3,3
20230210,4,0
20230213,1,0
20230214,2,2
20230215,0,2
20230216,4,2
20230217,4,2
20230220,1,0
20230221,1,0
20230222,4,2
20230223,4,2
20230224,4,2
20230227,0,3
20230228,1,3
20230301,1,3
20230302,2,1
