,Features,VarImp
0,page,0.1007434
1,advance_reaction,0.031793345
2,star_analyst,0.028327182
3,title_len,0.03830034
4,num_sentence,0.051076666
5,avg_sentence_len,0.033551197
6,sd_sentence_len,0.0289794
7,num_authors,0.022348737
8,analyst_coverage,0.18422733
9,rm_rf,0.03125783
10,smb,0.036504403
11,hml,0.034547307
12,rmw,0.025812693
13,cma,0.02727047
14,broker_size,0.051784907
15,listed,0.017650269
16,prior_performance_avg,0.03917917
17,prior_performance_sd,0.028388299
18,broker_status,0.04748423
19,ind_1,0.031822987
20,ind_2,0.036726497
21,ind_3,0.03946891
22,ind_4,0.0
23,ind_5,0.032754425
24,ind_6,0.0
