,0
advance_reaction,0.04676566
analyst_coverage,0.0578101
avg_sentence_len,0.039179627
broker_size,0.0321179
broker_status,0.043602917
cma,0.08570524
hml,0.055349752
ind_1,0.027304742
ind_2,0.040296227
ind_3,0.03865583
ind_4,0.021412948
ind_5,0.030554181
ind_6,0.036259215
listed,0.017276548
num_authors,0.030797554
num_sentence,0.023483047
page,0.029991124
prior_performance_avg,0.03234124
prior_performance_sd,0.031923
rm_rf,0.06302416
rmw,0.07158694
sd_sentence_len,0.03021399
smb,0.0675472
star_analyst,0.022522137
title_len,0.024278682
