file,market,sampling_rate,suffix,target_ARR_mean,target_ARR_std,achieved_ARR_mean,achieved_ARR_std,abs_diff_ARR_mean,abs_diff_ARR_std,loss,valid_seed_count,target_dqn_ARR_mean,target_dqn_ARR_std,achieved_dqn_ARR_mean,achieved_dqn_ARR_std,abs_diff_dqn_ARR_mean,abs_diff_dqn_ARR_std
T6C5_1.py,ChiNext market,50%,1,0.356,1.462,0.35600126462505766,1.4620998723345404,1.2646250576731077e-06,9.987233454045175e-05,4.679166110208309e-09,1500,,,,,,
T6C5_2.py,ChiNext market,50%,2,0.265,1.37,0.26502298002179,1.3716802958274812,2.29800217899645e-05,0.001680295827481082,2.0855022132785075e-06,1500,0.507,1.529,0.507081831738334,1.5301315068437948,8.183173833398172e-05,0.0011315068437949272
T6C6_1.py,ChiNext market,60%,1,0.307,1.081,0.30699938311336944,1.0809798883115298,6.168866305555909e-07,2.0111688470159095e-05,3.50172828781287e-10,1500,,,,,,
T6C6_2.py,ChiNext market,60%,2,0.274,1.362,0.27390151414101477,1.3634863380390798,9.84858589852533e-05,0.0014863380390797154,1.6362218365767864e-06,1500,0.511,1.518,0.5112845120337467,1.517881318208364,0.00028451203374668665,0.00011868179163609938
T6C7_1.py,ChiNext market,70%,1,0.225,0.772,0.22499894709209792,0.7719901778576577,1.0529079020882293e-06,9.822142342352791e-06,1.837728477231092e-10,1500,,,,,,
T6C7_2.py,ChiNext market,70%,2,0.298,1.351,0.2980604461479042,1.3526131983607206,6.044614790423619e-05,0.0016131983607206024,1.476264588247134e-06,1500,0.575,1.431,0.5749937819463192,1.430862867617568,6.218053680728808e-06,0.00013713238243195924
T6C8_1.py,ChiNext market,80%,1,0.174,0.563,0.17400004852672735,0.5630006651547743,4.852672735866648e-08,6.651547743707908e-07,1.47359669652408e-12,1500,,,,,,
T6C8_2.py,ChiNext market,80%,2,0.31,1.336,0.310022062575802,1.3374666896804157,2.2062575802006545e-05,0.0014666896804156337,1.231414605327582e-06,1500,0.588,1.417,0.5880024794721753,1.4172059257862835,2.479472175354047e-06,0.00020592578628342295
T6C9_1.py,ChiNext market,90%,1,0.099,0.354,0.09899992810935375,0.35399667265800033,7.189064625545694e-08,3.3273419996482367e-06,8.886312531947692e-11,1500,,,,,,
T6C9_2.py,ChiNext market,90%,2,0.326,1.314,0.32601663228835864,1.3147861271360461,1.6632288358631175e-05,0.0007861271360460886,5.016147692833269e-07,1500,0.601,1.368,0.6010716632427748,1.3684872582980634,7.166324277485536e-05,0.0004872582980632867
T6M5_1.py,Main board market,50%,1,0.832,1.331,0.831999838152504,1.33099768416339,1.618474959608207e-07,2.3158366100339833e-06,3.0651709214499186e-12,1500,,,,,,
T6M5_2.py,Main board market,50%,2,0.94,1.363,0.9400220665900708,1.3630222904244111,2.2066590070868308e-05,2.2290424411153253e-05,1.6590806230321806e-09,1500,1.356,1.503,1.3560298123219088,1.5030284057996455,2.9812321908684325e-05,2.8405799645581098e-05
T6M6_1.py,Main board market,60%,1,0.814,0.967,0.8140002160312659,0.966999806532797,2.1603126598712663e-07,1.9346720292467978e-07,1.1046213721940589e-13,1500,,,,,,
T6M6_2.py,Main board market,60%,2,1.013,1.215,1.0130238223812364,1.2150143328032406,2.3822381236549006e-05,1.4332803240479919e-05,8.824990588314414e-10,1500,1.504,1.473,1.5040188735805722,1.4730084401197734,1.8873580572176252e-05,8.440119773300836e-06
T6M7_1.py,Main board market,70%,1,1.035,1.226,1.0349998410104575,1.2260000956181074,1.5898954242032914e-07,9.561810743186072e-08,2.967972102296948e-14,1500,,,,,,
T6M7_2.py,Main board market,70%,2,1.052,1.062,1.0519798874821584,1.0619987645767854,2.0112517841619493e-05,1.2354232146183364e-06,5.302602256290405e-10,1500,1.762,1.334,1.76198873546756,1.3339852338655953,1.1264532439936303e-05,1.4766134404764486e-05
T6M8_1.py,Main board market,80%,1,0.997,0.782,0.9970000412722854,0.7819999836137966,4.1272285367099926e-08,1.638620339416974e-08,2.152747640724093e-15,1500,,,,,,
T6M8_2.py,Main board market,80%,2,1.095,0.852,1.0950198307055523,0.8520035828140726,1.9830705552337236e-05,3.5828140726446023e-06,7.266082342236603e-10,1500,1.838,1.256,1.8379676274939587,1.2559894369004723,3.23725060413782e-05,1.0563099527738373e-05
T6M9_1.py,Main board market,90%,1,1.049,0.563,1.0490002315163287,0.5629998970726076,2.3151632877471684e-07,1.0292739238693116e-07,8.213232227409304e-14,1500,,,,,,
T6M9_2.py,Main board market,90%,2,1.114,0.646,1.1139998959106627,0.646001468062069,1.0408933737160453e-07,1.4680620690210588e-06,2.1428276090336134e-10,1500,1.987,0.918,1.9870177957847577,0.9179895776581148,1.779578475757937e-05,1.0422341885196751e-05
